metropolitan_area,immigrant_population_from_india,percentage_of_metro_area_population
New York-Newark-Jersey City,354000,1.80%
Chicago-Naperville-Elgin,145000,1.50%
San Francisco-Oakland-Berkeley,136000,2.90%
San Jose-Sunnyvale-Santa Clara,128000,6.40%
Dallas-Fort Worth-Arlington,123000,1.70%
Washington-Arlington-Alexandria,104000,1.70%
Los Angeles-Long Beach-Anaheim,96000,0.70%
Houston-The Woodlands-Sugar Land,91000,1.30%
Philadelphia-Camden-Wilmington,85000,1.40%
Atlanta-Sandy Springs-Alpharetta,82000,1.40%
